0,19
1,5
2,5
3,5
4,5
5,19
6,4
7,5
8,5
9,14
10,5
11,5
12,19
13,5
14,4
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,19
28,5
29,19
30,5
31,5
32,5
33,19
34,5
35,5
36,19
37,5
38,5
39,5
40,5
41,5
42,19
43,19
44,5
45,5
46,5
47,11
48,5
49,5
50,18
51,5
52,5
53,5
54,5
55,11
56,5
57,5
58,5
59,5
60,19
61,5
62,5
63,5
64,5
65,19
66,5
67,5
68,5
69,19
70,5
71,5
72,12
73,5
74,19
75,0
76,5
77,13
78,5
79,5
80,5
81,5
82,5
83,5
84,19
85,5
86,16
87,5
88,11
89,5
90,5
91,19
92,5
93,5
94,5
95,5
96,19
97,5
98,5
99,5
100,5
101,5
102,5
103,14
104,5
105,2
106,19
107,11
108,11
109,5
110,19
111,5
112,5
113,5
114,0
115,5
116,5
117,5
118,5
119,5
120,5
121,5
122,14
123,14
124,5
125,5
126,5
127,19
128,5
129,5
130,5
131,5
132,5
133,5
134,19
135,5
136,11
137,5
138,14
139,5
140,5
141,5
142,4
143,5
144,5
145,14
146,19
147,14
148,14
149,5
150,5
151,5
152,5
153,5
154,5
155,5
156,14
157,5
158,5
159,5
160,5
161,5
162,16
163,5
164,19
165,5
166,14
167,0
168,5
169,19
170,19
171,19
172,19
173,5
174,5
175,19
176,19
177,19
178,5
179,20
180,0
181,0
182,12
183,5
184,5
185,5
186,5
187,5
188,5
189,1
190,5
191,19
192,5
193,5
194,5
195,5
196,5
197,5
198,19
199,19
200,19
201,19
202,5
203,13
204,5
205,19
206,19
207,5
208,5
209,4
210,5
211,5
212,0
213,19
214,5
215,5
216,19
217,6
218,5
219,5
220,19
221,5
222,19
223,5
224,11
225,19
226,5
227,5
228,14
229,5
230,19
231,5
232,5
233,5
234,4
235,19
236,5
237,5
238,19
239,19
240,5
241,19
242,0
243,5
244,5
245,19
246,5
247,19
248,5
249,19
250,5
251,5
252,5
253,5
254,19
255,5
256,19
257,5
258,5
259,19
260,5
261,4
262,0
263,17
264,19
265,5
266,5
267,5
268,5
269,19
270,19
271,5
272,5
273,5
274,5
275,5
276,5
277,14
278,19
279,5
280,19
281,5
282,14
283,5
284,19
285,5
286,5
287,5
288,19
289,5
290,5
291,5
292,5
293,19
294,5
295,5
296,5
297,5
298,19
299,5
300,5
301,19
302,19
303,5
304,19
305,11
306,5
307,5
308,14
309,19
310,11
311,5
312,5
313,5
314,14
315,11
316,5
317,5
318,5
319,5
320,5
321,5
322,14
323,5
324,19
325,19
326,11
327,5
328,5
329,5
330,5
331,14
332,16
333,5
334,11
335,5
336,5
337,5
338,5
339,5
340,5
341,5
342,5
343,5
344,5
345,5
346,19
347,5
348,19
349,5
350,19
351,5
352,5
353,5
354,19
355,5
356,5
357,5
358,5
359,5
360,5
361,5
362,5
363,19
364,5
365,19
366,19
367,5
368,5
369,5
370,5
371,19
372,5
373,5
374,19
375,5
376,5
377,5
378,13
379,5
380,5
381,5
382,5
383,19
384,5
385,19
386,5
387,5
388,5
389,5
390,5
391,11
392,5
393,5
394,5
395,5
396,19
397,5
398,14
399,5
400,18
401,14
402,19
403,5
404,5
405,5
406,5
407,5
408,19
409,14
410,5
411,5
412,14
413,5
414,5
415,5
416,19
417,14
418,5
419,5
420,5
421,5
422,5
423,19
424,5
425,14
426,14
427,0
428,19
429,5
430,5
431,5
432,5
433,5
434,14
435,5
436,5
437,14
438,4
439,5
440,14
441,19
442,5
443,5
444,5
445,14
446,5
447,5
448,5
449,10
450,5
451,5
452,6
453,5
454,5
455,4
456,14
457,19
458,5
459,5
460,5
461,19
462,5
463,11
464,14
465,5
466,14
467,5
468,5
469,0
